Name,RAM,ROM,Sold Quantity,Rating
vivo T2x 5G,6,128,54140,4.4
POCO M4 5G,4,64,81221,4.2
POCO M4 5G,4,64,81221,4.2
vivo T2x 5G,8,128,13891,4.3
POCO X5 5G,6,128,9173,4.1
APPLE iPhone 13,0,128,229564,4.7
APPLE iPhone 13,0,128,229564,4.7
vivo T2 5G,6,128,28830,4.4
POCO X5 Pro 5G,8,256,8620,4.3
POCO M4 5G,6,128,42318,4.2
realme 10 Pro 5G,8,128,20373,4.3
realme 10 Pro 5G,8,128,20373,4.3
APPLE iPhone 13,0,128,229564,4.7
realme GT 2,8,128,10898,4.3
realme 10 Pro 5G,6,128,27571,4.3
realme 10 Pro 5G,6,128,27571,4.3
SAMSUNG Galaxy F23 5G,6,128,196898,4.3
realme GT 2,8,128,10898,4.3
Infinix HOT 20 5G,4,64,12333,4.2
Infinix HOT 20 5G,4,64,12333,4.2
REDMI Note 12 5G,6,128,2111,4.2
POCO X5 5G,8,256,3219,4.1
SAMSUNG Galaxy F14 5G,4,128,7484,4.2
REDMI Note 12 5G,6,128,2111,4.2
